,INSP_UNIT_MAKE,0,1,2,3,4,5,6,7,total_count
1002,EGIL,9.0,96.0,1.0,1.0,3.0,2.0,19.0,22.0,144.0
2493,PINE,7.0,22.0,30.0,34.0,4.0,26.0,8.0,19.0,143.0
3178,TEXA,8.0,12.0,7.0,38.0,10.0,24.0,18.0,33.0,142.0
3188,TEXS,14.0,2.0,3.0,54.0,10.0,31.0,9.0,32.0,141.0
3583,VOLK,9.0,37.0,11.0,25.0,9.0,12.0,22.0,24.0,140.0
716,CPS,16.0,83.0,2.0,2.0,7.0,1.0,19.0,24.0,138.0
1860,LANL,13.0,54.0,9.0,18.0,7.0,28.0,11.0,11.0,138.0
1581,INTE,7.0,41.0,7.0,18.0,10.0,13.0,19.0,28.0,136.0
1593,INTT,7.0,15.0,4.0,55.0,6.0,30.0,18.0,8.0,136.0
2478,PETE,11.0,33.0,6.0,18.0,12.0,14.0,28.0,25.0,136.0
659,COMR,9.0,9.0,2.0,53.0,10.0,36.0,7.0,18.0,135.0
3211,TIMP,6.0,34.0,15.0,19.0,10.0,4.0,24.0,25.0,131.0
1708,KAL,9.0,4.0,4.0,31.0,10.0,22.0,14.0,39.0,124.0
2655,RANC,6.0,58.0,11.0,7.0,3.0,1.0,29.0,15.0,124.0
978,EAST,13.0,25.0,5.0,30.0,18.0,20.0,12.0,13.0,123.0
95,AME,8.0,3.0,5.0,47.0,5.0,30.0,11.0,20.0,121.0
2666,RAVE,12.0,35.0,16.0,13.0,7.0,14.0,12.0,23.0,120.0
253,BELH,4.0,6.0,4.0,43.0,14.0,32.0,16.0,5.0,120.0
139,APPA,17.0,3.0,2.0,51.0,9.0,16.0,9.0,29.0,119.0
2043,MANA,3.0,45.0,16.0,6.0,4.0,10.0,22.0,16.0,119.0
1975,LODZ,10.0,9.0,2.0,49.0,6.0,18.0,11.0,20.0,115.0
766,CTRL,11.0,18.0,25.0,8.0,8.0,19.0,13.0,23.0,114.0
3016,STLG,6.0,38.0,2.0,5.0,13.0,10.0,34.0,10.0,112.0
2283,NDMC,9.0,10.0,12.0,28.0,7.0,2.0,31.0,21.0,111.0
348,BOYD,8.0,26.0,9.0,15.0,6.0,22.0,21.0,12.0,111.0
1339,GOOS,10.0,4.0,2.0,37.0,10.0,18.0,16.0,23.0,110.0
3787,ZIEM,22.0,34.0,12.0,14.0,10.0,30.0,4.0,5.0,109.0
880,DITC,10.0,6.0,3.0,55.0,6.0,21.0,10.0,8.0,109.0
909,DOOL,6.0,2.0,4.0,52.0,5.0,34.0,8.0,3.0,108.0
1734,KAUFMAN,8.0,5.0,2.0,38.0,12.0,20.0,1.0,28.0,106.0
3678,WHIT,9.0,27.0,8.0,14.0,6.0,6.0,25.0,15.0,101.0
1583,INTER,4.0,15.0,6.0,38.0,7.0,5.0,13.0,17.0,101.0
1324,GM,6.0,23.0,1.0,20.0,9.0,13.0,26.0,9.0,101.0
3554,VERN,13.0,6.0,7.0,39.0,14.0,11.0,18.0,6.0,101.0
3085,SUPR,15.0,36.0,3.0,11.0,14.0,15.0,8.0,12.0,99.0
788,CWCF,3.0,5.0,4.0,39.0,5.0,14.0,9.0,23.0,99.0
3179,TEXAS,21.0,5.0,8.0,26.0,14.0,26.0,4.0,15.0,98.0
839,DELT,6.0,4.0,6.0,35.0,5.0,22.0,9.0,15.0,96.0
